raw_code,panel_code,note
28170,28177,
41111,41110,
41113,41110,
41115,41110,
41117,41110,
41131,41130,
41133,41130,
41135,41130,
41171,41170,
41173,41170,
41192,41190,
41194,41190,
41195,41190,
41196,41190,
41197,41190,
41199,41190,
41271,41270,
41273,41270,
41281,41280,
41285,41280,
41287,41280,
41461,41460,
41463,41460,
41465,41460,
41730,41670,
42110,51110,
42130,51130,
42150,51150,
42170,51170,
42190,51190,
42210,51210,
42230,51230,
42720,51720,
42730,51730,
42750,51750,
42760,51760,
42770,51770,
42780,51780,
42790,51790,
42800,51800,
42810,51810,
42820,51820,
42830,51830,
43111,43110,
43112,43110,
43113,43110,
43114,43110,
43710,43110,
44131,44130,
44133,44130,
44830,44270,
45111,52110,
45113,52110,
45130,52130,
45140,52140,
45180,52180,
45190,52190,
45210,52210,
45710,52710,
45720,52720,
45730,52730,
45740,52740,
45750,52750,
45770,52770,
45790,52790,
45800,52800,
47111,47110,
47113,47110,
47720,27720,
48121,48110,
48123,48110,
48125,48110,
48127,48110,
48129,48110,
48160,48110,
48190,48110,
49110,50110,
49130,50130,
49710,50110,
49720,50130,
52111,52110,
52113,52110,
44730,,DROP: Yeongi County (Sejong predecessor) — kept missing for 2006-11 (D4)
