role_i,role_j,F_ij,F_ji,net,gross,E_ij
SUP,ANC,1941443,1783790,157653,3725233,4.232
SUP,OUT,2043942,2153444,-109502,4197386,-2.609
SUP,ESC,391822,374603,17219,766425,2.247
SUP,LAND,1004222,966357,37865,1970579,1.922
SUP,HTR,261959,223342,38617,485301,7.957
ANC,SUP,1783790,1941443,-157653,3725233,-4.232
ANC,OUT,4043656,4152427,-108771,8196083,-1.327
ANC,ESC,1212223,1013158,199065,2225381,8.945
ANC,LAND,2354675,2143661,211014,4498336,4.691
ANC,HTR,713969,601568,112401,1315537,8.544
OUT,SUP,2153444,2043942,109502,4197386,2.609
OUT,ANC,4152427,4043656,108771,8196083,1.327
OUT,ESC,5175704,5722381,-546677,10898085,-5.016
OUT,LAND,10073016,7220833,2852183,17293849,16.492
OUT,HTR,1422708,1151769,270939,2574477,10.524
ESC,SUP,374603,391822,-17219,766425,-2.247
ESC,ANC,1013158,1212223,-199065,2225381,-8.945
ESC,OUT,5722381,5175704,546677,10898085,5.016
ESC,LAND,2024065,1554772,469293,3578837,13.113
ESC,HTR,229620,208695,20925,438315,4.774
LAND,SUP,966357,1004222,-37865,1970579,-1.922
LAND,ANC,2143661,2354675,-211014,4498336,-4.691
LAND,OUT,7220833,10073016,-2852183,17293849,-16.492
LAND,ESC,1554772,2024065,-469293,3578837,-13.113
LAND,HTR,521112,437933,83179,959045,8.673
HTR,SUP,223342,261959,-38617,485301,-7.957
HTR,ANC,601568,713969,-112401,1315537,-8.544
HTR,OUT,1151769,1422708,-270939,2574477,-10.524
HTR,ESC,208695,229620,-20925,438315,-4.774
HTR,LAND,437933,521112,-83179,959045,-8.673
