panel_code,static,modal_2008_2011,modal_2022_2025
11110,ESC,ESC,ESC
11140,ESC,ESC,ESC
11170,ESC,ESC,ESC
11200,ESC,ESC,ESC
11215,ESC,ESC,OUT
11230,ESC,ESC,OUT
11260,OUT,OUT,OUT
11290,OUT,ESC,OUT
11305,OUT,OUT,OUT
11320,OUT,OUT,OUT
11350,OUT,OUT,OUT
11380,OUT,LAND,OUT
11410,ESC,ESC,OUT
11440,ESC,ESC,OUT
11470,OUT,ESC,OUT
11500,OUT,OUT,OUT
11530,OUT,ESC,OUT
11545,OUT,ESC,OUT
11560,ESC,ESC,ESC
11590,ESC,ESC,ESC
11620,ESC,ESC,ESC
11650,ESC,ESC,OUT
11680,ESC,ESC,OUT
11710,OUT,ESC,OUT
11740,OUT,LAND,LAND
26110,ESC,ESC,ESC
26140,OUT,OUT,SUP
26170,ESC,OUT,ESC
26200,ANC,OUT,ANC
26230,OUT,OUT,LAND
26260,OUT,OUT,LAND
26290,OUT,OUT,OUT
26320,OUT,OUT,ANC
26350,OUT,OUT,OUT
26380,ANC,OUT,ANC
26410,OUT,OUT,OUT
26440,HTR,HTR,OUT
26470,OUT,ESC,OUT
26500,ESC,ESC,ESC
26530,OUT,OUT,OUT
26710,LAND,HTR,ANC
27110,HTR,HTR,HTR
27140,OUT,OUT,SUP
27170,OUT,OUT,SUP
27200,ESC,ESC,ESC
27230,OUT,OUT,ANC
27260,OUT,OUT,OUT
27290,OUT,OUT,ANC
27710,LAND,LAND,ANC
27720,SUP,SUP,HTR
28110,HTR,HTR,LAND
28140,OUT,OUT,OUT
28177,OUT,OUT,LAND
28185,LAND,LAND,LAND
28200,OUT,LAND,OUT
28237,OUT,OUT,OUT
28245,OUT,LAND,OUT
28260,LAND,LAND,LAND
28710,SUP,SUP,SUP
28720,HTR,HTR,HTR
29110,HTR,HTR,ESC
29140,OUT,ESC,OUT
29155,OUT,HTR,OUT
29170,OUT,OUT,ANC
29200,LAND,LAND,ANC
30110,OUT,OUT,SUP
30140,OUT,OUT,OUT
30170,OUT,OUT,OUT
30200,LAND,HTR,OUT
30230,OUT,OUT,OUT
31110,OUT,OUT,ANC
31140,OUT,OUT,ANC
31170,OUT,OUT,ANC
31200,LAND,LAND,ANC
31710,LAND,LAND,ANC
36110,HTR,,OUT
41110,OUT,OUT,ANC
